COD_CURSO;COD_DISCIPLINA;COD_TURMA;PERIODO_IDEAL;NOME_DISCIPLINA;VAGAS_OFERECIDAS;DIA_SEMANA;HR_INICIO;HR_FIM;NUM_SALA;NOME_DOCENTE
GAUT;GEXT7302;651009;2;CÁLCULO A VÁRIAS VARIÁVEIS;20;TER;12:50:00;16:15:00;E-301;RODRIGO TOSTA PERES
GCIV;GEXT7302;710001;2;CÁLCULO A VÁRIAS VARIÁVEIS;50;QUA;12:50:00;14:30:00;H-101;ROBERTO CARLOS ANTUNES THOME
GCIV;GEXT7302;710001;2;CÁLCULO A VÁRIAS VARIÁVEIS;50;QUI;15:25:00;17:20:00;H-102;ROBERTO CARLOS ANTUNES THOME
GEL;GEXT7302;212105;2;CÁLCULO A VÁRIAS VARIÁVEIS;25;QUI;18:10:00;19:50:00;H-102;ROBERTO CARLOS ANTUNES THOME
GEL;GEXT7302;212105;2;CÁLCULO A VÁRIAS VARIÁVEIS;25;QUA;18:10:00;19:50:00;H-103;ROBERTO CARLOS ANTUNES THOME
GELT;GEXT7302;312105;2;CÁLCULO A VÁRIAS VARIÁVEIS;25;QUA;18:10:00;19:50:00;H-103;ROBERTO CARLOS ANTUNES THOME
GELT;GEXT7302;312105;2;CÁLCULO A VÁRIAS VARIÁVEIS;25;QUI;18:10:00;19:50:00;H-102;ROBERTO CARLOS ANTUNES THOME
GFIS;GEXT7302;217302;2;CÁLCULO A VÁRIAS VARIÁVEIS;20;SEG;07:00:00;08:40:00;H-101;HELDER MANOEL VENCESLAU
GFIS;GEXT7302;217302;2;CÁLCULO A VÁRIAS VARIÁVEIS;20;TER;07:00:00;08:40:00;D-226;HELDER MANOEL VENCESLAU
GMEC;GEXT7302;110191;2;CÁLCULO A VÁRIAS VARIÁVEIS;55;SEG;07:00:00;08:40:00;H-101;HELDER MANOEL VENCESLAU
GMEC;GEXT7302;110191;2;CÁLCULO A VÁRIAS VARIÁVEIS;55;TER;07:00:00;08:40:00;D-226;HELDER MANOEL VENCESLAU
GPROD;GEXT7302;410011;2;CÁLCULO A VÁRIAS VARIÁVEIS;55;SEG;09:45:00;11:30:00;H-104;HELDER MANOEL VENCESLAU
GPROD;GEXT7302;410011;2;CÁLCULO A VÁRIAS VARIÁVEIS;55;TER;08:55:00;10:35:00;D-226;HELDER MANOEL VENCESLAU
GTEL;GEXT7302;510106;2;CÁLCULO A VÁRIAS VARIÁVEIS;20;TER;12:50:00;16:15:00;E-301;RODRIGO TOSTA PERES
GEL;GELE7304;272253;7;CÁLCULO ELÉTRICO DE LINHAS DE TRANSMISSÃO;20;QUA;16:30:00;18:10:00;Pav. VI 01;JOAO AMIN MOOR NETO
GADM;GMAT1009MA;811714;1;CÁLCULO I;9;SEG;09:45:00;12:20:00;H-101;ALEXANDRE TOMAN
GADM;GMAT1009MA;811714;1;CÁLCULO I;9;SEG;09:45:00;12:20:00;H-101;RODRIGO TOSTA PERES
GADM;GADM1724;821724;2;CÁLCULO II;55;QUA;07:50:00;08:40:00;;RODRIGO TOSTA PERES
GADM;GADM1724;821724;2;CÁLCULO II;55;TER;09:45:00;12:20:00;H-101;RODRIGO TOSTA PERES
GEL;GELE7305;262514;7;CÁLCULO MECÂNICO DE LINHAS DE TRANSMISSÃO;30;QUI;16:30:00;19:00:00;CAMPIII205;ARTHUR MASSARI FILHO
BCC;GEXT7402;940001;4;CÁLCULO NUMÉRICO;40;QUA;14:35:00;16:15:00;E-415;HELDER MANOEL VENCESLAU
